City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
249,ambon,0,FR,1538260200,66,47.55,-2.56,51.8,6.93
250,oistins,40,BB,1538258400,74,13.07,-59.53,82.4,18.34
251,panukulan,8,PH,1538263293,99,14.93,121.81,81.73,10.98
252,yeppoon,40,AU,1538262000,64,-23.13,150.74,73.4,4.7
253,seoul,1,KR,1538261880,93,37.57,126.98,62.6,3.6
254,fayaoue,92,NC,1538263294,100,-20.65,166.53,72.46,18.48
255,muroto,75,JP,1538259420,88,33.37,134.14,78.8,19.46
256,romodanovo,92,RU,1538263295,96,54.42,45.33,38.8,6.06
257,lahore,0,PK,1538260200,88,31.52,74.33,69.8,2.71
258,teguldet,68,RU,1538263295,56,57.31,88.17,48.52,9.53
259,mayo,20,CA,1538258400,35,63.59,-135.9,42.8,2.93
260,baykit,32,RU,1538262914,94,61.68,96.39,39.52,8.97
261,souillac,0,FR,1538262000,62,45.6,-0.6,57.2,3.36
262,lewistown,40,US,1538262900,64,40.39,-90.15,63.68,6.93
263,monze,68,ZM,1538263296,38,-16.28,27.48,77.14,15.12
264,iranshahr,0,IR,1538263297,34,27.21,60.69,55.45,0.69
265,guerrero negro,0,MX,1538263008,50,27.97,-114.04,83.35,9.64
266,iqaluit,90,CA,1538258400,93,63.75,-68.52,35.6,3.49
267,novyy urengoy,64,RU,1538262924,94,66.08,76.63,39.52,9.98
268,thunder bay,75,CA,1538258400,48,48.41,-89.26,44.6,6.93
269,salalah,40,OM,1538257800,83,17.01,54.1,77.0,3.15
270,gwadar,0,PK,1538263298,98,25.12,62.33,76.06,8.19
271,filingue,24,NE,1538263299,66,14.35,3.32,79.84,3.49
272,kailua,20,US,1538258220,76,21.39,-157.74,87.98,6.93
273,salihorsk,0,BY,1538262849,81,52.79,27.54,34.12,4.61
274,howard springs,0,AU,1538262000,45,-12.5,131.05,82.4,12.75
275,houma,0,CN,1538263300,51,35.63,111.36,51.22,4.05
276,kruisfontein,0,ZA,1538262697,81,-34.0,24.73,61.39,18.81
277,fortuna,0,ES,1538262000,88,38.18,-1.13,64.4,2.15
278,lorengau,24,PG,1538262709,98,-2.02,147.27,84.34,12.66
279,bontang,56,ID,1538263301,96,0.12,117.47,82.09,7.07
280,maiduguri,0,NG,1538263301,75,11.84,13.15,75.07,2.71
281,sao miguel do tapuio,12,BR,1538263301,29,-5.5,-41.32,87.31,9.19
282,granada,75,NI,1538258400,88,11.93,-85.96,77.0,17.47
283,katangli,92,RU,1538263302,100,51.71,143.23,46.54,7.96
284,sorland,92,NO,1538262773,100,67.67,12.69,48.43,19.6
285,palmer,1,US,1538261760,69,61.6,-149.11,62.06,5.82
286,altay,0,CN,1538263303,66,47.83,88.13,26.2,2.71
287,fevik,75,NO,1538261400,76,58.38,8.68,51.8,11.41
288,narsaq,92,GL,1538261400,51,60.91,-46.05,37.4,4.7
289,didsbury,75,CA,1538262000,59,51.66,-114.14,37.4,11.41
290,le mans,0,FR,1538262000,61,48.01,0.2,50.0,5.82
291,guarapari,75,BR,1538258400,88,-20.67,-40.5,75.2,5.82
292,mandera,0,ET,1538263305,73,3.94,41.86,77.5,10.2
293,severo-yeniseyskiy,76,RU,1538263305,83,60.37,93.04,42.58,6.73
294,shirpur,0,IN,1538263306,82,21.35,74.88,68.59,2.48
295,santiago,75,CL,1538258400,93,-33.44,-70.65,57.2,2.48
296,chute-aux-outardes,1,CA,1538262000,60,49.12,-68.38,46.4,5.82
297,ammon,75,US,1538261580,3,43.47,-111.97,77.0,5.82
298,port blair,8,IN,1538263308,100,11.67,92.75,83.17,2.59
299,shache,24,CN,1538263308,65,38.42,77.24,44.47,2.59
300,alyangula,0,AU,1538262570,87,-13.85,136.42,81.46,14.56
301,beloha,0,MG,1538262726,82,-25.17,45.06,70.75,20.49
302,yar-sale,76,RU,1538262918,100,66.83,70.83,43.21,17.02
